@ HyperIMU - ianovir
@ Date:Thu Jun 05 19:03:08 GMT+05:30 2025, Sampling Rate:150ms

bmi160_accelerometer.x,bmi160_accelerometer.y,bmi160_accelerometer.z,bmi160_gyroscope.x,bmi160_gyroscope.y,bmi160_gyroscope.z
-0.6063938,1.3544292,10.058651,0.02363205,-0.066223145,-0.085315704
-0.32131386,1.41432,9.594198,-0.015888214,0.029640198,0.04793167
-0.39318275,1.663166,9.498373,-0.039253235,-0.055541992,-0.0032043457
-0.46505165,1.4718151,9.345053,-0.01909256,-0.09492874,0.028705597
-1.1975155,2.1255226,9.974804,0.1130867,-0.3782463,-0.5145645
0.8492508,1.2226696,10.28384,0.04699707,-0.9621048,0.25875092
1.5652447,0.28178596,12.378519,1.2135124,0.12029648,0.2854538
2.07761,0.7941513,10.781832,-0.085048676,0.8872032,-0.24820328
-3.8527718,6.3439274,10.120937,-1.4869499,-1.5319443,0.33124924
6.142994,2.8004913,9.610968,-0.87545395,-1.1623764,-0.66049576
3.355978,3.688671,0.6758671,1.3541031,-5.8367157,-1.7908287
7.8645535,-4.997284,-2.032093,0.16529083,-3.067093,2.8207588
17.630339,-6.630205,-5.5994854,1.08881,0.8649063,3.805027
13.213097,-3.3931103,-2.822052,-1.0342026,1.0374069,2.6172829
9.811003,-2.7828236,-1.9075203,-1.9204712,-0.054473877,-0.6711769
9.432493,-6.7116566,-1.6155529,1.3476944,-0.8831978,-3.4407997
10.490763,-6.728426,-4.5052814,-1.1279297,-0.14072418,-1.0419464
7.627386,-5.387472,-1.5868053,0.49440384,0.19159317,0.7082939
5.353035,-5.002075,-3.152649,-0.4227066,0.6231117,1.4561081
8.745546,-4.2288857,-2.6594486,1.5192604,0.16822815,2.056923
10.91449,-4.520853,-5.616255,-0.5570221,0.435524,0.09159088
13.658384,-4.760416,-2.802887,-0.4791832,-0.9259224,-0.86076736
5.288353,-4.348667,-5.6497936,1.4116478,-2.516346,-3.235321
6.071125,-5.667761,0.4770298,-2.7450562,1.1152458,-1.2005615
6.6290073,-5.694113,1.4945736,0.741539,0.33966064,1.5168571
15.669516,-0.64951515,-8.862633,0.1695633,-2.6068687,1.8055153
6.605051,-3.029274,-1.5484753,1.2060356,1.1343384,-0.25568008
9.657682,-1.93507,-4.6657887,0.6201744,-0.4624939,0.922451
11.000732,-4.2504463,-6.372675,0.056610107,0.19266129,-0.45915604
9.940067,-7.0515366,-1.3448467,-0.11175156,-0.700016,-1.0866737
8.47484,-1.7149715,-6.990448,-0.579319,0.14259338,-1.386013
6.636194,-4.456171,-1.8356514,0.13431549,-0.11949539,-0.7276535
8.372128,-5.7803555,-2.0704231,0.11522293,0.10427475,1.7214012
11.503515,-5.184143,-2.242609,0.7969475,-0.30160904,2.956009
6.952118,-4.2672157,-4.945778,-0.5452728,1.149292,0.051136017
8.462862,-4.128269,-1.7661781,-0.25447845,-0.3058815,0.69454193
10.955215,-4.379511,-4.591524,-0.19479752,0.11709213,-0.3356552
11.707144,-5.504858,-1.8715858,-0.2863884,-0.057678223,-0.7478142
8.269115,-4.9421844,-4.4405994,1.4681244,-1.3966942,-2.605667
5.3671093,-3.922245,-1.0600662,-0.24700165,0.3503418,-1.1196518
7.531561,-6.1729393,-2.326456,-0.273571,-0.4060173,0.8723831
9.207603,-7.339012,-3.226614,0.92912674,0.04245758,3.169098
7.146164,-4.0803566,-4.3639393,-0.27677536,0.7273865,0.18638611
8.668886,-3.6901684,-2.2545872,0.5774498,0.21722794,0.73179245
12.571367,-4.6981297,-3.621893,-0.59000015,0.43979645,-0.36649704
9.607374,-6.9748764,0.5177555,0.384655,-0.27183533,-1.6096497
8.858141,-3.6039257,-3.8994865,2.090168,-1.3934898,-1.5702629
6.8206577,-5.504858,-1.524519,-0.9223175,0.9276581,-1.2762642
10.06464,-7.166527,-4.248949,-0.74661255,-0.26542664,1.608448
11.936825,-2.754076,-2.3815556,-0.4430008,0.25341034,1.4177895
8.235577,-3.1945724,0.61837196,-0.56663513,0.76049805,0.64020157
9.710386,-4.1857643,-2.8723602,0.23124695,0.22563934,0.31736374
11.779013,-5.7923336,-4.019268,-0.9937477,-0.14606476,0.21615982
12.293774,-4.051609,-3.9234428,1.2496948,-1.658783,-1.8557167
7.191681,-3.994114,-3.9665642,0.6552887,-0.14286041,-2.3191452
7.8046627,-6.6877003,-3.2625484,-0.92552185,-0.57424545,-0.5976105
7.2779236,-7.1569443,-0.81331635,0.15995026,0.79027176,2.1677399
7.9720573,-5.4497585,-5.022438,1.0207176,0.671978,1.4966965
9.492384,-3.8934975,-2.6330967,0.29626846,0.565567,1.2335396
11.805365,-5.823477,-4.0935326,-0.7008171,0.012683868,-0.07463455
13.340065,-5.313507,-2.489359,-0.011615753,-0.27397156,-1.3976288
6.971283,-5.5096493,-3.79887,-0.03391266,-0.8033562,-2.9646873
4.6681843,-4.578348,-1.3472424,-0.064888,-0.22911072,-1.0642433
8.587435,-8.337391,-2.1926003,0.2845192,-0.25047302,2.2593307
12.8277,-5.2272644,-5.544386,1.4776039,0.24059296,2.2817612
8.218807,-4.978119,-1.5317059,-1.0906792,1.0619736,1.1706543
8.980019,-4.18816,-5.4964733,0.5754471,-0.066223145,0.12243271
11.194778,-7.2264175,-4.483721,-1.1610413,0.23845673,-0.6339264
10.397333,-7.654936,-5.0392075,-0.15541077,-0.5434036,-2.052784
5.972904,-5.375494,-1.7494087,-0.15327454,0.2640915,-2.1849632
4.804735,-6.141796,-3.698553,-0.6219101,-0.36449432,0.58158875
10.545862,-10.405718,-5.4701214,0.199337,0.39186478,3.1254387
10.076618,-5.1242523,-5.915409,0.7394028,0.8701134,0.58052063
6.463709,-4.94458,-1.3400555,-1.7128563,1.1332703,-0.02670288
8.824602,-5.2799683,-6.535578,-0.030708313,-0.17904282,-0.41015625
10.969589,-7.137779,-4.5244465,0.026836395,0.21829605,-0.9129715
8.767107,-6.6877003,-3.401495,-0.107479095,-0.77251434,-2.0933723
5.08712,-4.5424137,-0.35365486,-0.3300476,0.2512741,-1.0152435
6.4349613,-7.0251846,-1.5149364,0.7639694,-0.5114937,0.963974
9.157295,-7.4752636,-4.6801624,1.0569,0.010547638,2.0132637
8.043926,-5.4880886,-5.211693,0.76503754,-0.34740448,-0.62324524
7.979244,-3.0436478,-1.1918259,0.11522293,0.18732071,-0.81710815
10.093388,-5.2775726,-3.9665642,-0.2938652,-0.5359268,-0.6403351
10.423685,-5.4761105,-1.2538128,0.8566284,-0.55194855,-1.1143112
6.60026,-3.3431015,-1.8931465,0.9332657,-0.37303925,-0.6414032
8.247555,-5.629431,-3.016098,0.4560852,-0.44326782,0.029773712
9.528318,-9.65888,-1.1870346,-0.51856995,-0.0097465515,1.872673
6.2819405,-4.793955,-9.559462,0.5040169,0.09679794,-0.755291
6.7823277,-4.372324,1.2050018,-0.5016136,0.7061577,-0.029907227
10.251499,-4.9948883,-5.5228252,-0.7572937,0.19052505,0.3642273
11.10614,-4.8011417,-3.0304718,0.44540405,-0.37611008,-0.027770996
9.035118,-4.135456,-4.332796,0.32297134,-1.0590363,-1.112175
6.6481724,-4.2480507,-0.945076,-0.13404846,-0.028839111,-1.3412857
8.122982,-7.583067,-3.5452328,-1.0534286,-0.67344666,0.5922699
8.094234,-5.962124,-2.7121525,1.8813515,1.2089729,2.2124672
6.9856567,-5.5743313,-4.0096855,-1.3878822,0.6199074,0.93740463
9.301033,-4.772394,-4.5819416,0.95249176,-0.25154114,0.8691788
10.948029,-4.937393,-2.7097569,-0.56877136,0.2938652,-0.035247803
13.608076,-4.3342934,-5.865101,0.3272438,-0.12163162,-1.7448997
8.281094,-5.6965084,-3.2029572,-0.21722794,-0.4199028,-2.5343704
4.7184925,-4.2672157,-1.3376598,-1.0427475,0.06702423,-1.4040375
6.5882816,-7.4680767,0.47942543,-0.37797928,-0.71603775,1.5818787
11.166031,-10.934853,-6.0807076,2.0465088,0.4855919,4.5934296
8.613787,-5.4569454,-7.040756,-1.158905,1.056633,1.2932205
9.042305,-4.2672157,-0.9714279,0.546608,0.07436752,0.4579544
11.967968,-6.1657524,-4.8691177,-0.9297943,0.25661469,-1.3295364
16.311245,-8.792261,-6.102268,1.1187172,-1.0483551,-3.4696388
6.7967014,-7.1880875,-2.0632362,-1.3388824,0.5985451,-3.437729
2.3695774,-4.468149,-2.1590614,0.093860626,-0.56049347,-1.1228561
8.953667,-10.705172,-2.2713566,-0.76890945,0.0935936,4.712658
17.678251,-6.450533,-8.714403,2.0944405,-0.050201416,2.8239632
7.0383606,-3.1921768,-4.129467,-0.21615982,1.4006996,0.7647705
11.527472,-6.4193897,-3.3224392,-0.8414078,-0.60094833,0.53152084
11.553823,-7.327034,-3.107132,-0.39506912,0.24913788,-1.3199234
9.966419,-7.927738,-5.355131,0.1918602,-1.6395569,-3.8584328
5.08712,-5.428198,-1.6610699,-0.09786606,0.12136459,-2.900734
6.2100716,-6.8098774,-0.58603096,-2.0877647,-0.5061531,1.1749268
10.8093815,-6.907799,-5.369505,2.965889,0.49627304,3.280983
7.538748,-5.8450375,-5.151802,-0.19693375,1.0480881,2.1166039
10.490763,-5.4617367,-2.70257,0.7554245,0.21402359,1.9567871
10.759073,-5.164978,-3.653036,-0.7359314,0.30241013,-0.18972397
13.564955,-5.1242523,-4.7277756,0.5275154,-1.0025597,-1.4414215
11.685583,-9.9772,-4.3639393,-2.4159431,-0.2845192,-4.215317
2.359995,-5.512045,-1.3975506,1.3498306,0.10641098,-2.3191452
4.16061,-8.876108,1.6982021,0.89387894,0.6124306,3.466301
13.895252,-8.46406,-8.561083,2.4513245,0.38438797,3.1051445
7.3306274,-4.94458,-2.142292,-0.37797928,1.8842888,1.4124489
10.57461,-4.958954,-5.106285,0.3272438,-0.3782463,0.6571579
10.636896,-8.299061,-3.7198143,-1.3303375,0.26302338,-1.6565132
9.72476,-7.4297466,-5.778858,0.384655,-2.1710777,-2.308464
6.0471687,-4.6262608,-2.0105324,-0.32470703,0.43766022,-2.1817589
7.7016506,-6.4984455,-3.7773094,-1.1193848,-0.64888,0.27584076
8.707216,-6.5367756,-0.6602955,0.12590408,-0.35060883,2.6322365
7.2348022,-4.5232487,-6.521204,0.27290344,0.4004097,0.750885
7.6705074,-3.1873856,-4.469347,0.9972191,0.34606934,0.8702469
